Location,OriginalTweet,Sentiment
Toronto,The produce section at my local supermarket on College St this morning. #COVID-19. #toronto https://t.co/HRJy2vwX0A,Neutral
East Central Alberta,"#NewZealand beef exports to U.S. and Canada are surging.  Exports previously going to China are being rerouted to Canada. Month to month sales up 48% https://t.co/rYcHqMimus Thanks #CPTPP. Our markets going down, down, down as prices arbitrage with New Zealand. Packers profitable",Extremely Positive
"Austin, Texas","Hoarders: Americans #stockup on #supplies as #virus #fear 
#spreads https://t.co/dzlmQ78vwo

#living #offgrid #escape #coronavirus #pandemic https://t.co/CBfxwUN4qD",Neutral
"Madison (close enough), WI","Elizabeth Warren, again, on target.  
But we are going to need to beat COVID 19 before consumer demand returns.  https://t.co/bKKjpgYoo3",Negative
"Berkeley, CA","Big Pharma got language in the coronavirus bill preventing government from limiting their profits on any future vaccines, even though many of the same drug companies are receiving funding from the government to combat the pandemic. 

Even in a national emergency, Big Pharma wins.",Positive
"Berkeley, CA",Here's the full list: https://t.co/WWSWMOryMq,Neutral
"San Francisco, CA","This is how I look at it. Its like when my father would put me on restriction. I can still go to the bank, grocery store and gas station, but I can not hang out at Del Taco or play with my friends. This will pass and we will be more diligent and appreciative after! #coronavirus https://t.co/ZpAaXeIJ1k",Extremely Positive
"Kampala, Uganda","Keep your hands sanitized and safe the whole day.

Let's minimise chances of contracting the deadly #COVID19

We still have enough large, portable hand sanitizers, &amp; face masks available in stock

Order at https://t.co/wdKjBYijfS, we deliver to your doorstep in 1hr around Kampala https://t.co/o8hGrXTgcG",Extremely Positive
"Kampala, Uganda","@MakabayiMercie @TMCGLtd @priscilla_atim @Spartakussug @HopeFortunate @Davisthedoc @drjohnmark_b @AkoraPriscilla @OsbertMwijukye @SandraBwengye @MinofHealthUG See prices for these items and place an order at https://t.co/wdKjBYijfS, we deliver to your doo",Neutral
,"#MondayMotivation: If this #QuarantineLife over #COVID2019   does nothing else I only hope it gives #WallStreet a new found appreciation for the term ""Consumer Driven Economy"" and they STOP trying to hoard all the Tax payer funded money on the planet in off shore accounts!",Negative
Russia,"Some thoughts and raw prognosis according to the #COVID2019 
1. Everyone is sitting home - internet traffic is growing
2. Food retailers will earn a lot
3. Raise of demand on tools and services to power-up remote workflow
4. Bitcoin is falling down but the technology still strong",Extremely Positive
New York City Area,"@TODAYshow Consumer reporter Vicky Ngyuen IS NOT qualified to answer medical questions, from Facebook or anywhere, regarding the #coronavirus #JustSayin",Neutral
"Mumbai, India","With all due Respect to @PMOIndia @narendramodi,request to bring Consumer protection Agncy in action to gt hold of those medical suppliers tkng advntge of #COVID2019
Masks with MRP of 23 is sold at 50&amp;Sanitizers of 100 is sold at 400.
Middle class can survive but poor will suffer",Extremely Negative
"Virginia, USA","After being out of town for the past 5 days I am struggling to stock our fridge with the essentials, just to get my family through the week. We empty our fridge before a trip so food doesnt go to waste. Im speechless.  #coronavirus #QuarantineLife",Extremely Negative
,"If you are heading to shops to stock pile with the purpose in mind to sell it for inflated prices on @eBay_UK , you should be ashamed of yourself. #StopPanicBuying #CoronaVirus",Negative
"Edinburgh, Scotland ?????","Seriously though, if I'm at a higher risk catching Covid-19 working in a supermarket where everyone and their dogs are flocking to, shouldnt I be getting hazard pay?",Negative
Latur & New Delhi,"Survived #SupremeCourt today or atleast I think I did for now. 
I always carry a sanitizer and a mask, if youre still not sure youre safe, just chant - Go Corona, Corona Go! #coronavirus https://t.co/A1lvkLHUKY",Extremely Positive
"Auburndale, MA","Huh. My health plan @aetna did a broad PR push around their COVID-19 plans, which I saw because I follow the industry, but I did NOT get a consumer communication a la every retail company whose email list I belong to. I wonder what's up with that? https://t.co/7ValdwFqii",Neutral
"Berlin, Germany","Shoppers form long queue outside supermarket amid #coronavirus fears
#Bushey #UK https://t.co/JnKukxqpq7",Negative
"New Brunswick, NJ","New Jersey Gov. Phil Murphy is ordering all bars and restaurants to shut down effective 8pm today, except for take-out food. SMLR's Ashley Conway talks to @NJBIZ about what's ahead for these businesses and their employees. #CoronavirusNJ #NJCoronavirus

https://t.co/mP9Gtby63q",Positive
London,Coronavirus prompts wave of store closures,Neutral
,"If you can afford to panic buy items in bulk, you can afford to donate to your local food bank for those who are left to try and pick scraps from what you leave behind.

Stop being so selfish. Were all in this together. #covid?19uk #coronavirus #panicshopping",Extremely Negative
,"THREAD. After tracking coronavirus responses for 7 weeks now, and since you asked for it: heres my list of best in class responses from around the world to the various facets of the problem. #coronavirusoutbreak #COVID19.",Positive
"Columbia, SC","We recently released a #pressrelease detailed ways to protect your wallet as we all deal with the COVID-19 virus. Learn more at https://t.co/32ev9dlYLc

#COVID19 #StaySafe #SCDCA https://t.co/wpIhakZ93R",Positive
"Islamabad, Pakistan","??????? ???? ???? ??? ??? ???? ??? ????? ????? ?? ??? ???? ???? ??? :????? ???? ???? ?????
@Abidsuleri @Shiffa_ZY
#coronavirusinpakistan https://t.co/NBeJJzmdEq",Neutral
Genesis,"Now Shanghai shopping mall is almost empty due to consumer confidence under the worsening economic circumstances.
Normally retail store has spring bargain sale season in China,Nobody come.Sad.
#coronavirus #COVID19 #Retail https://t.co/BTALEbxr56",Negative
Actionable advice here:,"I see so many (even big) accounts going absolutely apeshit about this virus.

Don't let yourself be defined by the negativities of life.

I know it's easy engagement, but stay your course.",Positive
"San Francisco, CA","PROVIDERS: If you feel sick, or your Consumer feels sick, you should seek medical advice and attention. Please call your Consumer's IHSS social worker if you are unable to work #coronavirus #IHSS #SanFrancisco",Extremely Negative
,$AMZN NEW ARTICLE : Amazon delivery infrastructure strained as COVID-19 outbreak sparks surge in online shopping https://t.co/hLZxLdZJ2l Get all the latest $AMZN related news here : https://t.co/OgSjJfshVt https://t.co/WYobmaQrbM,Negative
"Punjab, India","shopkeepers who are selling mask at very highly prices (Rs 100) which is actual cost  Rs. 5 or 10 kindly think about they are humans or other variety on Earth. I request to  @CMOPb provide free masks to the people of Punjab.
#coronavirusoutbreaks
#COVID2019",Extremely Positive
,I would love to practice social distancing but my occupation doesn t allow it I monitor the self service area in a retail store and to do that I am required to remain in that area and assist customers when needed My greatest fear is getting Covid 19 unknowingly and 1 4,Extremely Positive
"London, England","Fear and panic seems gripping in the UK . First time today, saw all food shelves and racks empty in both sainsbury and Tesco near me. This looks as real as approaching doomsday 

#coronavirus",Extremely Negative
"Christchurch, New Zealand",Supermarket shelves clearing out fast... #Covid_19 #coronavirusnz #CoronavirusPandemic #chch https://t.co/HHg4JQQ4TI,Neutral
"Milton Keynes, England",at least Im privileged enough to drive to all these places. Cant stop thinking about those without easy access to transport or who are less able to travel to multiple shops. Please people start thinking of others and #StopPanicBuying #Coronavirus 2/2,Positive
"Daylesford - Hepburn Springs, Victoria",Going to #Melbourne today to pick my grandma up from the hospital... should I wear a mask and gloves? #coronavirus #COVID19Aus #StopTheSpread #StopPanicBuying,Neutral
"Wayne, NJ","Anyone who suspects price gouging and other COVID-19 related fraud can file a complaint online at https://t.co/5G2VyfXdHB or contact the state Division of Consumer Affairs at 973-504-6240. Call, leave your name, a message and the name and address of the business 
#njcoronavirus",Extremely Negative
Central African Republic,"""In Gabon, pangolin sales falter with Covid-19""

Time will tell how and to what extent consumer behavior will be affected. We remain vigilant and proactive.

Au Gabon, les ventes de pangolin flanchent avec le Covid-19 https://t.co/DXENtNIXiv via @lemondefr",Positive
"Karachi, Pakistan","Greed will be the death of us all. Essential commodities have been swept off of supermarket shelves by the rich who already have enough to sustain themselves, leaving the bare minimum or nothing at all for the poor. 
Please refrain from unnecessarily buying in bulks. #coronavirus",Negative
Toronto,"A message from ISB on COVID-19 &amp; business continuity - To our partners, clients, and vendors - as a consumer reporting agency we are cognizant that now more than ever you rely on accurate and verified data to ensure the identity of your candidates and staff that may be remote. https://t.co/CkFPQkt8Sz",Positive
"Washington, DC","The NYT looked yes/no at whether workers had sick leave last year. We took a dive into what the top 20 restaurants are offering during the COVID-19 outbreak, and it isnt pretty. https://t.co/e2ZNXajPre https://t.co/QrXLf3OBzJ",Positive
"Washington, DC","@nytopinion @McDonalds @SUBWAY @ChickfilA @CrackerBarrel @Outback @Cheesecake You asked the workers, we asked the restaurants! Heres what the top 20 are offering during the outbreak (hint: its not good): https://t.co/e2ZNXajPre",Negative
"Washington, DC","@Ryan_Holdaway We had the same thought, so here it is!: https://t.co/e2ZNXajPre",Neutral
"Washington, DC",@HarrySteinDC Felt the same way! So we put this list  together for the top 20 chains. (Get ready to severely restrict your options): https://t.co/e2ZNXajPre,Negative
,"So supermarket checkout staff cannot handle peoples debit/credit/store cards etc, to cut down on transmission risk of covid-19, but no problem with touching all that food packaging that Ive also touched and possibly also been touched by other unknown persons",Extremely Negative
USA,Retailers step up to fight coronavirus | Chain Store Age #Retail #Walmart #Pittsburgh #coronavirus #coronapocolypse  https://t.co/trV5Gzu2Gk,Negative
Hampshire,"@IcelandFoods no online shopping from Sunday? Is this true? That is a lifeline for many of your elderly, disabled and vulnerable customers who are unable to get to a store #coronavirus",Neutral
"West Yorkshire, England","Can people please stop stock piling food?
Just finished a full time nursing shift and the shelves are empty!!

#covid?19uk #coronapocolypse #coronavirus #CoronavirusOutbreak #COVID19",Negative
"Boston, MA","[THREAD] China's role in wildlife trade should come under greater scrutiny. Whether pushing entire species to the brink of extinction or running animal farms for endangered species, PRC is the principal consumer in the wildlife trade. #coronavirus #COVID?19  1/4 https://t.co/1JLmxcFNin",Positive
New York ,"#Quarantine #coronavirus #Elderly #Food @cnnhealth @bbchealth When people are asked to Quarantine for 7-14 days, they are right away homebound. Not everyone has access to supplies or know online shopping. Many are old, alone, sick without help. We/Govt. need to think about this.",Extremely Negative
"Washington, DC & Cambridge, UK","Modeling study suggests stealth transmission of SARS-CoV2 due to a high number of contagious, undocumented infections supported rapid geographic spread of #coronavirus outbreak in China. https://t.co/KoVPQ38nX5 https://t.co/TVA9gJmn1o",Neutral
,"If #CoronaVirus has shown us anything, it's what selfish arseholes people can be in a crisis. There is no food or toilet roll shortage here in the UK so STOP stockpiling it and making it harder for people to buy that actually need it. 

#StopPanicBuying #StopStockpiling.",Extremely Negative
,Waiting outside a supermarket here in Los Angeles and there was a rainbow of hope. #Covid_19 #rainbow https://t.co/Ylcg3f85Z6,Positive
Cayman Islands,"Bakkt Marching Towards Summer Launch of Consumer App, While Closing $300M Series B https://t.co/VzF2Q7J6ph #app #Bakkt #blockchain #covid-19 #Crypto #DigitalSecurities #ICE #SeriesA #SeriesB #securitytoken #sto #securitytokens #digitalsecurities",Neutral
,NOT ALL BUSINESSES CAN HAVE THEIR EMPLOYEES WORK FROM HOME Retail restaurants coffee shops entertainment venues optometrists grocery stores bodegas non profits that work in the field veterinarian offices dentists mailing centers like UPS Store,Extremely Positive
"Stamford, CT","As we all fight against the Corona Virus / COVID-19, dont forget to show your gratitude towards those that are helping and on the front lines. From doctors and nurses and all healthcare workers, to our police, fire fighters, EMTs, supermarket workers, ouhttps://t.co/IiDhwwFwKD",Negative
"New Delhi, India","@RMantri Yeah, imagine that.

Economy in much better shape, not fudging data to hide ongoing degrowrth, oil prices better correlated with crude prices, and of course, no pogroms against Muslims in Kashmir and elsewhere.

And, responding to CoVid-1",Positive
,"Nothing like a little contagion, to stimulate a surge in consumer activity
#COVID2019 #coronavirus",Positive
Indiana,As this #coronavirus goes on or gets worse I do foresee people maxing out their credit cards to buy food &amp; etc out of panic buying &amp; having no intention of paying back these credit card loans @federalreserve.People were already stretching it before this crisis #Economics #Finance,Extremely Negative
"Sarasota, FL","@IvankaTrump People do need to be kind. More importantly, we need to stop the hysteria. Millions are losing their livelihood from the panic, not the virus. The numbers do not make sense #nomoreclosings #coronavirus #StopThePanic  #pandemic #StopPanicBuyin",Negative
"Fife Heights, WA","Day 3 of Social Distancing. Starting to go a little stir crazy, so we are practicing for the new Supermarket Sweep. Any pointers @Lesdoggg #COVID2019 #lockedupwithatoddler https://t.co/zMP4zcG6KB",Negative
,This past week or so has been an absolute nightmare. Why you may ask!. I work at a grocery store and let me tell you people are just being assholes. If you go to a grocery store be nice to the people working there. We are putting our lives at risk too  #coronavirus,Negative
Netherlands,"""US sales of guns and ammunition soar amid coronavirus panic buying""

People didn't have enough guns yet. What about knives, huh? And food? Toilet paper?

#coronavirus #ToiletPaperPanic #gunsandammo 

https://t.co/yfKK6m9xR4",Negative
"Sunnyvale, CA","Ok, chaos has ensued at the Indian grocery stores in the SF bay area. Folks buying enough stuff to sustain them for over 6 months. Black friday kind of queue outside the store. #COVID2019 #bayareacoronavirus https://t.co/gY4r3AcelI",Negative
India,"Are People Avoiding Online Shopping Portals From China Thanks To COVID-19?
 https://t.co/AS658GUWcV",Positive
,#coronavirus #selfisolation @BBCBreakfast  online shopping not really an option. Many places not accepting new orders. Week and a half wait if you can get an order.,Negative
choose your thoughts wisely ,"When you forget your gloves checking out at the grocery store...
Hold up hon!  Ill be right back...and return with a bag from produce! #bettersafethansorry #covid_19 https://t.co/XvWEp2qJe3",Negative
Cascade foothills in PNW,"Although it makes for more drama to show empty shelves and panic buying - here in the epicenter of #coronavirus outside Seattle we are fine - no lines lots of food thanks @FredMeyerStores @kroger 

Note: supporting my local community shelter https://t.co/UScEsrhWfQ https://t.co/exCl1XThVi",Positive
nationwide gypsy based in LDN,Off to play supermarket bingo....will I get everything I need? Probably not..#covid?19uk #headache #COVID2019,Positive
Nairobi ,@ItsMainaKageni I'm so much afraid of a total lock down cause thousands of people will starve to death and not die of CoVid-19 Are we thinking of our fellow human beings who can't run to the supermarkets and stock there households with food they live day ,Negative
London,"Okay, so if youre also worried about getting food due to stock piling, have a code for £20 off your first Hello Fresh box - S-L1JHX4WML #covid?19uk #COVID19 #coronavirus #CoronavirusOutbreak",Positive
,The UK retailers Primark and Kingfisher have warned the coronavirus pandemic will hit sales after store closures in Europe https://t.co/DpiJozXVHn via @guardian #retail #Primark #coronavirus,Negative
"Benton, Arkansas ",My coronavirus Dinner Plan till the end of the month. Kid Friendly Picky Eater Approved. #coronavirus #mealplan #mealprep #stockup #coronapocolypse #HowToKeepPeopleHome #Covid_19 #schoolclosure #QuarantineLife https://t.co/PL7S0gonuy,Extremely Positive
worldwide,#Amazon #delivery infrastructure strained as COVID-19 outbreak sparks surge in online https://t.co/ixfOLP8Wae,Negative
"Wellington City, New Zealand",@templetonf @RNZConcert Can so appreciate how you feel. @RNZConcert is a life saver - planning on listening on the way to the supermarket for my normal weekly supermarket shop. Going to the supermarket is now quite a surreal experience given #Covid_19 .,Positive
"England, United Kingdom","There was a video of people fighting to get into a supermarket.

They were touching other people and risking COVID-19 infection... so they could stockpile incase they contract COVID-19.

What, and I cannot stress this enough, the fuck?

#covid?19uk
#stockpiling
#morons",Extremely Negative
New York,"I know a lot of grocery stores are low on stock of some items. If you need something right away, try the Dollar Store, bodegas, 7-11, drug stores or ask friends/neighbors. I found some things the grocery store was sold out of at the Dollar Store yesterday. #coronavirus",Positive
UK,"Recent surge in online shopping affected your local retail biz? @Techpals_UK may be able to help. 
#SmallBiz #COVID19 #CoronaVirus https://t.co/ms2A2DUC42",Positive
Gazing at Mt Baker.,"A great source for Covid-19 data - updated daily.
https://t.co/3TgDKUCvo6

Be *prudent* but stop freaking out.
There is way more noise than fact out there.

This is no time to yell 'Fire'  in a crowded supermarket.",Extremely Negative
"Baltimore, MD","I work in a Howard County grocery store that has no toilet paper hand sanitizer or meat &amp; chicken.  

#coronavirus",Positive
New York City,"Covid-19 is changing consumer purchase habits rapidly and globally. The good news is there are patterns to their actions. As the U.S. transitions from pantry prep to quarantine prep, are you ready? #coronavirus #supplychainmanagement
https://t.co/FPhpnlpJyE",Extremely Positive
Kuwait,"Just pick up your #smart device and start ordering.
#Kuwait has tons of great #online shopping #sites for your daily needs at your finger tips. Trust and follow safety measures of kuwait law due to #coronavirus #thankingkuwaitcorona",Extremely Positive
"Canada, USA, Pakistan","Dear stores, please stop tempting my boredom with online shopping deals. Im out of work and sitting on my bum for like a month! No, no, nope. ??? #QuarantineLife #coronavirus",Negative
"Kansas City, MO","FMI highlights coronavirus is not foodborne, ensures US food supply

While the coronavirus (COVID-19) has sparked consumer concern over fresh foods, FMI  The Food Industry Association is stressing that COVID-19 is not a foodborne illness.

https://t.co/veB911ptjs",Positive
"New York, NY","Nike, Urban Outfitters and Under Armour are just a few of the retailers closing stores amid the rapidly spreading coronavirus pandemic.

https://t.co/do2S0Y76Cg

#coronavirus",Neutral
South Australia,Weve joined ?@consumeraction? &amp; 30 other organisations in recognition a little relief will go a long way for thousands struggling due to COVID-19 - Consumer Action Law Centre Time for our #energy &amp; #banking sectors to get behind our community!  https://t.co/2dToUO0yQu,Neutral
Toronto,"We all need to do our part in slowing the spread of COVID-19 and practice social distancing. As a result, we'll be closing our retail store at 401 Richmond until the end of March. You can still shop online at https://t.co/D5X7rxW0CS. Take care and stay safe everyone.",Extremely Positive
,"#Staythefuckhome | We've set up a special section with great cult films on https://t.co/mMJMmZQ5Vf

We've also cut the prices of Film Packs:
3 Films - 5
5 Films - 8
10 F.- 15
20 F.- 20

Stay home, stay safe.
#cinephile #stayhome #Covid_19 

(some titles are geo-blocked) https://t.co/BGnvd6hpZ2",Extremely Positive
"Seattle, WA","A technical glitch at #Amazon is wreaking havoc on #WholeFoods, Prime Now and #amazonfresh orders tonight, as panic-buying through the #coronavirus outbreak highlights the limits of Amazon delivery: https://t.co/D2RohkH5o4",Extremely Negative
"Reno, NV",Yall think #coronavirus is the only thing yall worried about.. Yall got another thing coming...stock markets is blood bath right now.... People going to be losing their jobs.. People going to losing their food stamps section 8 medicaid.. Pretty soon Social Security!!!,Negative
Belfast,"Even though it doesn't answer all the questions, here's the best thing I've read yet about the toilet roll supermarket psychosis. Fascinating piece. https://t.co/8S5vqs9U2e",Extremely Positive
"United States, or Holland...","@NikkiSixx Honest to God, I told said this today at work, with all these people stuck at Home, large supplies of Food, wine and On demand tv, We're going to get a second baby boom like that of 1919 of 1945 !! #coronapocolypse #coronavirus #Babyboom2020",Extremely Positive
,Want to stop toilet paper shortages and hoarding! Easy. Normal price for first pack then ten times for subsequent packs.  Repeat for essentials. #CoronavirusOutbreak #coronavirus #StopPanicBuying,Positive
"Biloxi, Mississippi",@NewsCarolyn Well it happened tonight; I received a message from Walmart Grocery Support informing me that there will be no pickup or delivery of groceries available from my store for the next week.  I'm glad I managed to get my small order delivered toda,Extremely Positive
"Sydney, New South Wales","THE NEW FACE OF CLEAN - A man wearing a face mask as a precautionary measure against #coronavirus #COVID_19 walks past a retail store front in #Sydney, #Australia.

@BennoTweets #covid19 #coronavirusaustralia https://t.co/ogAE59vkij",Positive
,Governor Cuomo Please order retail businesses to close My husband has to go to work and expose himself to the virus Store owners will not close unless you tell them they have to I have two friends fighting for their lives PLEASE CLOSE STORES NOW,Extremely Positive
,"Today I went to the supermarket, since I had NO food at home. 
Ive been working nonstop to help my colleagues with children at work getting dispatched because most things in Portugal ARE STILL open. 

All this to say, that the only + #COVID2019pt #COVID?19 #COVID2019 https://t.co/zaH70S03ex",Negative
Earth,"San Francisco Curfew: Residents Banned From Leaving Home After Midnight on Tuesday For Anything But Doctors Visits or Grocery Shops to Fight Coronavirus #SanFrancisco #curfew #lockdown #CoronavirusOutbreak #coronavirus 

https://t.co/OMWCDzsITx https://t.co/P2H35DQkLT",Extremely Negative
George Town,"Oh my God, even after coming up with a list of groceries that I need to buy and estimating that I'll only spend about 30 mins max in the supermarket, AKKA FUCKING CAME OUT AFTER 3 HOURS LA WTF #COVID2019",Negative
"Des Moines, IA","With the #coronavirus influencing all sectors of the U.S. economy, its ripple effects will have an impact on a #dairy industry already battered by years of depressed prices.

https://t.co/f5lJIfwb2x",Negative
"NZ born, Melbourne home",@BruceHillMelb Shes already been in her garden planting carrots in preparation for the food shortage. #corona,Negative
"Shanghai, People's Republic of",Under the essential commodity act Masks should sell at fair prices. But on @amazonIN and @Flipkart unfair display of business is going on @drharshvardhan @MoHFW_INDIA #COVID2019 #coronapocolypse #Coronaindia #CoronavirusPandemic,Negative
"Maine, USA","When stocking up for #SocialDistancing, if an item has a WIC symbol beside the price, get something else. People who use WIC to feed their kids can't switch to another brand or kind of food. If a store runs out of WIC-approved options, they will go home empty-handed.
#mepolitics https://t.co/oFRts6Rcbc",Positive
Mumbai,"@makemytrip @DGCAIndia Due to COVID-19, we have cancelled our flight bookings dated 20 March, But #makemytrip is cheating consumer but not providing the refund even after the circular to provide free cancellation https://t.co/QZtBQD5F4Y",Negative
"Kansas City, Missouri","While coronavirus (COVID-19) has sparked some consumer concern over fresh foods, @FMI_ORG @FMI_FoodSafety is stressing that COVID-19 is not a foodborne illness. 

@CDCgov #coronavirus #covid19 #foodsafety #foodindustry 
https://t.co/MdsyrJLx0t",Positive
"Avon, Ohio","Links with info on communicating with children regarding COVID-19.
https://t.co/ODqyKkqHID   

https://t.co/I9jHHyeKlE  

https://t.co/5CdPWhofL1  

managing stress
https://t.co/0p5OSy3t5e  

How to talk to kids
https://t.co/dGv1uZIfDd",Negative
,"I ran to the grocery store to pick up things for dinner. Went to get a bottle of lime juice, OUT, shelves are bare.  But vote for biden or bernie &amp; expect that shit daily. Biden will give all your money to illegals and themselves, bernie you'll pay $50 for bread. #coronavirus ?",Extremely Negative
"London, England","Unfortunately, we're cancelling our next @FinFabUK event due to Covid-19. The health and wellbeing of our attendees, speakers and staff is our ultimate priority. Sorry for any disappointment causes, FAQs are answered in the link below: 
https://t.co/tiaLX5FJmX",Extremely Negative
"Marlborough, Wiltshire","Bo Jo only gave his press conference about 5 minutes ago and it appears that everyone has gone online shopping crazy. I only wanted to check when the next available delivery slot was.
-
-
#coronavirus #covid_19 https://t.co/azHxfB6l59",Negative
"Brookfield, Illinois",There are many concerns surrounding grocery store stock during the coronavirus pandemic ORG President and CEO Leslie Sarasin has reassuring information about the resilience of the grocery store supply chain,Positive
Manchester,"Please sign this petition to give the elderly &amp; those who are vulnerable the first hour of supermarket trading ??

https://t.co/wOiWjl7dMv",Positive
"TORONTO, LAS VEGAS","STAY SAFE YALL 
I DIDNT REALIZE HOW BAD IT IS BECAUSE IM ONLINE IN MY ROOM https://t.co/XECdiXacCH ALL WEEK AND LAST WEEK I DID GROCERY SHOPPING AND EVERYTHING WAS FINE #coronavirus sorry bout caps https://t.co/dkmNNEXV84",Positive
"Lagos, Nigeria",Crude oil prices dropped to $30 per barrel on Monday amidst an ongoing coronavirus outbreak and price war between Saudi Arabia and Russia. #Covid_19,Extremely Negative
San Francisco,Amazon delivery infrastructure strained as COVID-19 outbreak sparks surge in online shopping (Monica Nickelsburg/GeekWire) https://t.co/WqMKVdZyyX,Negative
,"Did you know if you lightly saute TP and then add everything but the bagel seasoning from Trader Joe's you can have enough food for a family of 4? STOCK UP PEOPLE! 

#coronapocolypse #Coronavid19 #ToiletPaperPanic #coronavirus #COVID?19",Neutral
United States,"@ABC @AlmChriis I went to the grocery store today. There was no toilet paper, no fruit, no meat, no pasta, no tomato sauce, no cleaners, no disinfectant, no cereal, no coffee, no margarine, and no Diet Coke. This is trying! #COVID2019",Extremely Negative
"Toronto, Ontario","That means huge shift/increase in online shopping, esp for grocery and healthcare.

Many retailers business models are put into test. 

Stores Close and Malls Reduce Hours in Canada Amid COVID-19 Pandemic https://t.co/XcAZ6GjYfI",Positive
The Cosmos,"COVID-19 has cut the last two legs off the three legged US stool. The consumer and service industry has disappeared, printing more fiat money will only prop up Zombie Bamksters and corporations.
https://t.co/j7NZa61JdY",Negative
Berlin,"Quickly find other supermarkets if your local store runs out of supplies, or look up hospitals and pharmacies if the coronavirus requires you to get medical services. Type your location: https://t.co/CK4A1teogM #coronavirus #COVID19 #groceries #medicine #data #POI #mapping https://t.co/lhG3d87GRm",Neutral
,@pocket_rocket96 I think many of us are anxious. Things like not getting enough food because of selfish panic buyers is a worry for me &amp; many of us. I already have meds for anxiety &amp; schizo affective disorder. I miss my boyfriend like crazy too as,Extremely Negative
South Africa,How can companies minimise Covid-19s effect on their marketing traffic? Brands need to be agile in these times of crisis as events like these are changing consumer behaviour https://t.co/wl9xeouZvS,Negative
,"@BestBuy how are you guys still open? Basically the largest tech store in the US, let alone the world probably. You guys may be helping spread COVID-19? An employee could have an asymptomatic case, every customer they talk to, could get the virus.Yall n",Positive
"Texas, USA",Student resources during COVID-19 https://t.co/edjUfnzT8Y,Neutral
?????????,Pattaya: Makro full of shoppers as Thais and foreigners stock up on food items https://t.co/6CXvzZw14J #thailand #coronavirus #covid19 https://t.co/ZIvgHESZ8k,Neutral
"Everett, WA","Clubs shut down
Bars shut down
Restaurants shut down
Gym shut down 
Grocery stores are nightmare fuel
Seriously if u work at a grocery store or retail in general u have my sympathy 
#coronavirus",Positive
Canada,"Send several emails on how Covid-19 is effecting you, your family, express fear of job loss, no money to buy food, pay your rent/mortgage ect...and demand that policy even if temporary be mandated asap. Call and leave messages!!",Extremely Negative
Wonderland,"No canned goods at my local grocery store 
#CoronavirusOutbreak #coronavirus #CoronaVirusUpdates #panicbuying #COVID2019 #COVID19 #COVID?19 #Repost #QuarantineLife #QuarantineAndChill #SocialDistance #StayTheFHome #Corona #wtf https://t.co/yQrUtMwgw9",Negative
Disabled (with too many chromosomes) disease-ridden chronic illness & surgery survivor. Vegetarian resides MEL Disclaimer: RTs?endorsement!,"Y'all: I walked two and a half miles to the supermarket last night, and it was quieter than usual. An eerie suspense permeated: the dessert aisle was deserted, and there were almost no staples, such as eggs, bread, pasta, etc. #Covid_19 https://t.co/prD62ju5Sk",Negative
,Were still part of a community even when were by ourselves. Stay home and stay positive. We're #AloneTogether https://t.co/eBRBPBqIJw,Positive
"Detroit,MI USA",Consumers Energy is suspending service shutoffs for senior citizens and low income customers because of the COVID-19 outbreak. https://t.co/I07b93XPmR,Neutral
"Naples, Florida","""Amazon is hiring an additional 100,000 employees in the U.S. to meet the surge in demand from online shopping amid the #coronavirus outbreak, the company said Monday."" #jobs https://t.co/brddGC1C9E",Positive
"Manchester, England","One of the most damaged sectors by the #coronavirus in the #USA is the #SP500 #Consumer Discretionary Sector. Firmly in sell on our system. See chart. Key: above the cloud ""In Buy"" below ""In Sell"" $XLY #stocks #luxury #trading #investing #COVID19 #COVID2019 #covidusa https://t.co/sAudd9g1jw",Negative
"Upper Saddle River, NJ",Coronavirus Watch - Online shopping and delivery are expected to surge as cases of coronavirus increase in the U.S. -  https://t.co/rjaPZ4fTxJ #coronavirus #CoronavirusOutbreak #foodinstitutefocus #foodinstitute #food #foodindustry #delivery #fooddelivery https://t.co/fyaoXdLqKt,Positive
"Scotland, United Kingdom","To all the panic buyers that over stock up on milk ?meat ?or veg ? If you waste any of that food
(i.e. past expiration date), shame on you!
#coronavirusuk #coronavirus #COVID?19 #coronapocolypse",Extremely Negative
"Washington, DC",NEW: Coronavirus package hits roadblocks amid GOP opposition https://t.co/bCZaS0UTs5 https://t.co/jPa92hvSmI,Neutral
"7th Congressional District, WA","Update on #coronavirus in Seattle:  local @HomeDepot employee said there is talk of limiting the number of people who enter retail stores at the same time.

That means your grocery store would be affected too. https://t.co/NWETBBLm3s",Negative
,"If you're a healthy person not showing any symptoms of Covid-19, and you're complaining about not having a test available to you, you're just as bad as a panic buyer hoarding food and supplies.

Having a test available for 327 million people this soon isn't possible anywhere.",Extremely Negative
New York,"People are shopping online instead of visiting brick and mortar stores these days. Is your store ready to weather the storm? We're an easy e-commerce solution, tailor-made for specialty running stores https://t.co/zQgw9ZsqzX ???????? #ecommerce #shoplocal #coronavirus https://t.co/zhDlAE25CB",Extremely Positive
"Kuala Lumpur, Malaysia","We have enough food, assures PM
https://t.co/hSHap8C7tP  https://t.co/hSHap8C7tP",Positive
"Washington, D.C.","""We're appealing to ALL Americans to take these steps, to protect each other, and to ensure that the virus doesn't spread."" https://t.co/oceDVp3XxR",Extremely Positive
